,Country,iso_code,Long,Lat
166,Niue,NIU,-169.8667,-19.0333
167,Norfolk Island,NFK,167.95,-29.0333
168,Northern Mariana Islands,MNP,145.75,15.2
169,Norway,NOR,10,62
170,Oman,OMN,57,21
171,Pakistan,PAK,70,30
172,Palau,PLW,134.5,7.5
173,"Palestinian Territory, Occupied",PSE,35.25,32
174,Panama,PAN,-80,9
175,Papua New Guinea,PNG,147,-6
176,Paraguay,PRY,-58,-23
177,Peru,PER,-76,-10
178,Philippines,PHL,122,13
179,Pitcairn,PCN,-127.4,-24.7
180,Poland,POL,20,52
181,Portugal,PRT,-8,39.5
182,Puerto Rico,PRI,-66.5,18.25
183,Qatar,QAT,51.25,25.5
184,Réunion,REU,55.6,-21.1
185,Romania,ROU,25,46
186,Russian Federation,RUS,100,60
187,Russia,RUS,100,60
188,Rwanda,RWA,30,-2
189,"Saint Helena, Ascension and Tristan da Cunha",SHN,-5.7,-15.9333
190,Saint Kitts and Nevis,KNA,-62.75,17.3333
191,Saint Lucia,LCA,-61.1333,13.8833
192,Saint Pierre and Miquelon,SPM,-56.3333,46.8333
193,Saint Vincent and the Grenadines,VCT,-61.2,13.25
194,Saint Vincent & the Grenadines,VCT,-61.2,13.25
195,St. Vincent and the Grenadines,VCT,-61.2,13.25
196,Samoa,WSM,-172.3333,-13.5833
197,San Marino,SMR,12.4167,43.7667
198,Sao Tome and Principe,STP,7,1
199,Saudi Arabia,SAU,45,25
200,Senegal,SEN,-14,14
201,Serbia,SRB,21,44
202,Seychelles,SYC,55.6667,-4.5833
203,Sierra Leone,SLE,-11.5,8.5
204,Singapore,SGP,103.8,1.3667
205,Slovakia,SVK,19.5,48.6667
206,Slovenia,SVN,15,46
207,Solomon Islands,SLB,159,-8
208,Somalia,SOM,49,10
209,South Africa,ZAF,24,-29
210,South Georgia and the South Sandwich Islands,SGS,-37,-54.5
211,South Sudan,SSD,30,8
212,Spain,ESP,-4,40
213,Sri Lanka,LKA,81,7
214,Sudan,SDN,30,15
215,Suriname,SUR,-56,4
216,Svalbard and Jan Mayen,SJM,20,78
217,Swaziland,SWZ,31.5,-26.5
218,Sweden,SWE,15,62
219,Switzerland,CHE,8,47
220,Syrian Arab Republic,SYR,38,35
221,"Taiwan, Province of China",TWN,121,23.5
222,Taiwan,TWN,121,23.5
223,Tajikistan,TJK,71,39
224,"Tanzania, United Republic of",TZA,35,-6
225,Thailand,THA,100,15
226,Timor-Leste,TLS,125.5167,-8.55
227,Togo,TGO,1.1667,8
228,Tokelau,TKL,-172,-9
229,Tonga,TON,-175,-20
230,Trinidad and Tobago,TTO,-61,11
231,Tunisia,TUN,9,34
232,Turkey,TUR,35,39
233,Turkmenistan,TKM,60,40
234,Turks and Caicos Islands,TCA,-71.5833,21.75
235,Tuvalu,TUV,178,-8
236,Uganda,UGA,32,1
237,Ukraine,UKR,32,49
238,United Arab Emirates,ARE,54,24
239,United Kingdom,GBR,-2,54
240,United States,USA,-97,38
241,United States Minor Outlying Islands,UMI,166.6,19.2833
242,Uruguay,URY,-56,-33
243,Uzbekistan,UZB,64,41
244,Vanuatu,VUT,167,-16
245,"Venezuela, Bolivarian Republic of",VEN,-66,8
246,Venezuela,VEN,-66,8
247,Viet Nam,VNM,106,16
248,Vietnam,VNM,106,16
249,"Virgin Islands, British",VGB,-64.5,18.5
250,"Virgin Islands, U.S.",VIR,-64.8333,18.3333
251,Wallis and Futuna,WLF,-176.2,-13.3
252,Western Sahara,ESH,-13,24.5
253,Yemen,YEM,48,15
254,Zambia,ZMB,30,-15
255,Zimbabwe,ZWE,30,-20
